order_id,customer_id,order_date,status,region_code
O0001,C0302,2025-08-08 10:24:27,PLACED,NORTH
O0002,C0244,2025-04-01 11:23:15,DELIVERED,SOUTH
O0003,C0355,2025-02-11 05:21:39,RETURNED,SOUTH
O0004,UNKNOWN,2025-08-27 19:19:50,PLACED,WEST
O0005,C0089,2025-05-01 05:39:31,SHIPPED,EAST
O0006,C0180,2024-05-09 00:00:00,PLACED,SOUTH
O0007,C0211,2025-12-31 14:26:15,RETURNED,WEST
O0008,C0034,2025-02-24 11:36:33,RETURNED,EAST
O0009,C0332,2025-08-23 10:42:51,PLACED,SOUTH
O0010,C0192,2024-10-31 09:38:42,PLACED,WEST
O0011,C0325,2026-05-03 00:00:00,DELIVERED,WEST
O0012,C0118,2024-11-11 20:17:56,DELIVERED,SOUTH
O0013,C0296,2025-09-07 11:02:45,SHIPPED,NORTH
O0014,UNKNOWN,2026-03-28 17:25:16,DELIVERED,WEST
O0015,C0235,2026-07-23 18:28:03,CANCELLED,EAST
O0016,C0110,2025-02-26 08:06:31,DELIVERED,EAST
O0017,C0192,2024-12-14 12:28:24,PLACED,NORTH
O0018,C0424,2025-04-09 19:41:42,RETURNED,EAST
O0019,C0386,2026-02-06 09:19:31,SHIPPED,NORTH
O0020,C0101,2025-01-10 23:31:01,SHIPPED,EAST
O0021,C0107,2026-06-02 21:05:20,RETURNED,EAST
O0022,C0323,2026-05-13 17:05:19,RETURNED,SOUTH
O0023,C0475,2024-12-27 20:15:54,SHIPPED,NORTH
O0024,C0415,2024-11-21 16:09:52,PLACED,EAST
O0025,C0194,2026-05-22 00:00:00,SHIPPED,NORTH
O0026,C0309,2024-11-29 04:16:48,DELIVERED,WEST
O0027,C0314,2025-09-05 04:59:08,CANCELLED,NORTH
O0028,C0147,2025-12-01 06:48:44,DELIVERED,WEST
O0029,C0188,2025-04-05 13:51:47,PLACED,EAST
O0030,C0274,2025-09-10 13:26:33,SHIPPED,NORTH
O0031,C0482,2025-10-11 03:29:22,SHIPPED,NORTH
O0032,C0214,2025-02-11 00:24:36,RETURNED,EAST
O0033,C0194,2026-07-26 08:36:15,RETURNED,NORTH
O0034,C0423,2025-04-26 14:07:59,RETURNED,NORTH
O0035,C0120,2025-09-29 16:35:43,PLACED,NORTH
O0036,C0222,2025-11-03 17:24:36,PLACED,NORTH
O0037,C0048,2024-12-11 07:15:26,CANCELLED,SOUTH
O0038,C0498,2026-07-18 09:22:11,DELIVERED,NORTH
O0039,C0044,2025-01-29 23:54:06,RETURNED,EAST
O0040,C0410,2025-01-16 05:05:06,SHIPPED,WEST
O0041,C0118,2024-08-21 08:56:36,DELIVERED,NORTH
O0042,C0262,2025-07-16 16:35:33,DELIVERED,WEST
O0043,C0406,2026-07-14 01:22:40,CANCELLED,NORTH
O0044,C0087,2025-03-20 15:22:25,CANCELLED,SOUTH
O0045,C0020,2025-12-08 11:25:00,RETURNED,SOUTH
O0046,C0052,2026-02-11 04:37:00,DELIVERED,EAST
O0047,C0088,2025-09-10 22:39:36,RETURNED,EAST
O0048,C0295,2024-09-25 01:33:46,DELIVERED,NORTH
O0049,C0252,2024-08-19 08:57:08,PLACED,NORTH
O0050,C0482,2026-03-28 12:02:21,SHIPPED,NORTH
O0051,C0441,2025-09-26 09:55:02,RETURNED,WEST
O0052,C0145,2025-04-30 18:24:01,RETURNED,SOUTH
O0053,C0042,2024-11-08 12:22:45,PLACED,SOUTH
O0054,C0144,2025-08-15 08:10:31,DELIVERED,NORTH
O0055,C0218,2024-12-03 19:54:50,CANCELLED,NORTH
O0056,C0159,2025-09-27 03:39:17,SHIPPED,WEST
O0057,C0155,2026-05-15 17:12:53,SHIPPED,WEST
O0058,C0182,2026-06-23 04:29:43,SHIPPED,NORTH
O0059,C0230,2025-06-08 12:46:54,CANCELLED,EAST
O0060,C0224,2025-02-16 22:05:18,SHIPPED,SOUTH
O0061,C0284,2025-09-06 15:13:19,PLACED,WEST
O0062,C0006,2024-08-09 21:55:22,RETURNED,EAST
O0063,C0023,2024-08-25 13:02:44,DELIVERED,EAST
O0064,C0086,2025-06-17 15:16:05,DELIVERED,NORTH
O0065,C0488,2025-01-07 08:59:21,SHIPPED,EAST
O0066,C0346,2024-11-21 12:54:50,DELIVERED,SOUTH
O0067,C0406,2024-11-03 08:54:55,RETURNED,WEST
O0068,C0073,2025-01-23 23:45:46,DELIVERED,EAST
O0069,C0047,2025-05-24 11:27:21,SHIPPED,SOUTH
O0070,C0153,2025-08-11 14:52:20,CANCELLED,EAST
O0071,C0144,2026-02-16 22:55:30,CANCELLED,EAST
O0072,UNKNOWN,2026-02-19 02:40:47,RETURNED,EAST
O0073,UNKNOWN,2025-08-28 04:45:27,DELIVERED,WEST
O0074,C0460,2024-12-15 20:22:45,SHIPPED,EAST
O0075,C0119,2026-04-19 13:06:33,CANCELLED,EAST
O0076,C0341,2026-05-12 02:11:42,PLACED,NORTH
O0077,C0357,2025-03-01 02:25:36,RETURNED,NORTH
O0078,C0404,2026-04-18 00:00:00,DELIVERED,SOUTH
O0079,C0202,2024-08-09 04:27:36,RETURNED,NORTH
O0080,UNKNOWN,2024-09-21 00:00:00,DELIVERED,EAST
O0081,C0120,2026-01-18 11:13:03,SHIPPED,EAST
O0082,C0184,2026-05-08 06:13:42,SHIPPED,EAST
O0083,C0478,2026-06-05 21:34:32,DELIVERED,EAST
O0084,C0334,2024-12-12 09:58:20,SHIPPED,WEST
O0085,C0211,2024-11-22 16:29:12,DELIVERED,WEST
O0086,UNKNOWN,2025-01-28 22:48:27,SHIPPED,WEST
O0087,C0193,2024-08-15 04:19:36,CANCELLED,SOUTH
O0088,C0398,2026-01-13 09:11:10,DELIVERED,SOUTH
O0089,C0015,2026-07-07 12:14:05,SHIPPED,NORTH
O0090,C0049,2025-04-04 17:53:13,DELIVERED,NORTH
O0091,C0115,2026-04-22 13:16:55,PLACED,SOUTH
O0092,C0241,2025-06-14 23:42:30,DELIVERED,SOUTH
O0093,C0208,2024-11-23 00:15:35,DELIVERED,NORTH
O0094,C0144,2024-08-15 02:52:04,SHIPPED,WEST
O0095,C0142,2026-02-04 18:40:41,SHIPPED,EAST
O0096,C0248,2026-03-22 03:58:54,PLACED,EAST
O0097,C0277,2026-01-08 15:25:14,DELIVERED,WEST
O0098,C0292,2025-06-04 19:41:51,RETURNED,SOUTH
O0099,C0317,2025-06-10 04:34:56,CANCELLED,EAST
O0100,C0463,2025-09-14 03:00:51,PLACED,NORTH
O0101,C0196,2025-09-27 00:12:51,DELIVERED,WEST
O0102,C0472,2024-12-25 02:58:31,SHIPPED,WEST
O0103,C0493,2025-12-11 05:33:35,PLACED,WEST
O0104,C0152,2026-01-15 15:27:51,RETURNED,WEST
O0105,C0149,2024-12-01 04:41:15,SHIPPED,WEST
O0106,C0208,2024-09-01 00:05:49,PLACED,EAST
O0107,C0204,2024-08-10 01:27:21,RETURNED,NORTH
O0108,C0192,2025-04-03 21:09:04,PLACED,NORTH
O0109,C0282,2025-11-03 12:25:33,PLACED,NORTH
O0110,C0275,2025-10-17 05:19:10,CANCELLED,WEST
O0111,C0160,2026-04-21 00:00:00,SHIPPED,WEST
O0112,C0038,2025-04-19 22:17:41,PLACED,SOUTH
O0113,C0465,2024-11-10 00:00:00,RETURNED,SOUTH
O0114,C0281,2025-04-28 22:13:10,SHIPPED,SOUTH
O0115,C0459,2026-02-10 07:32:56,RETURNED,NORTH
O0116,C0296,2026-01-30 10:33:23,SHIPPED,WEST
O0117,C0057,2026-01-13 09:39:20,DELIVERED,SOUTH
O0118,C0092,2025-03-15 08:11:00,PLACED,NORTH
O0119,C0131,2025-06-10 23:09:32,RETURNED,EAST
O0120,C0226,2024-11-06 01:20:09,DELIVERED,NORTH
O0121,C0204,2025-02-08 01:45:22,PLACED,SOUTH
O0122,C0146,2026-03-06 20:59:05,DELIVERED,SOUTH
O0123,C0367,2025-08-05 20:00:22,DELIVERED,SOUTH
O0124,C0156,2026-07-18 12:30:03,RETURNED,SOUTH
O0125,C0198,2025-05-29 13:46:58,SHIPPED,NORTH
O0126,C0337,2024-12-25 00:00:00,DELIVERED,NORTH
O0127,C0101,2025-01-14 05:33:22,DELIVERED,WEST
O0128,C0003,2025-03-10 09:57:18,PLACED,SOUTH
O0129,C0250,2026-07-27 19:47:55,DELIVERED,NORTH
O0130,C0316,2025-11-01 00:00:00,RETURNED,SOUTH
O0131,C0466,2024-10-06 18:53:16,SHIPPED,WEST
O0132,C0304,2026-02-25 07:15:50,DELIVERED,SOUTH
O0133,C0382,2025-07-14 06:05:24,SHIPPED,NORTH
O0134,C0021,2026-05-01 07:36:39,PLACED,WEST
O0135,C0295,2025-07-13 09:33:33,PLACED,EAST
O0136,C0434,2025-04-24 03:52:03,SHIPPED,SOUTH
O0137,C0133,2025-03-12 13:42:41,DELIVERED,EAST
O0138,C0208,2026-05-22 07:57:14,DELIVERED,WEST
O0139,C0334,2024-12-23 00:52:10,DELIVERED,NORTH
O0140,C0318,2024-11-06 23:39:16,CANCELLED,WEST
O0141,C0169,2026-06-23 00:37:55,CANCELLED,NORTH
O0142,C0113,2025-12-04 11:02:10,CANCELLED,EAST
O0143,C0483,2026-02-04 06:27:45,SHIPPED,WEST
O0144,C0046,2024-08-31 21:26:37,PLACED,NORTH
O0145,C0380,2026-05-30 08:44:54,SHIPPED,SOUTH
O0146,C0278,2025-07-04 16:54:35,SHIPPED,WEST
O0147,C0311,2025-08-01 05:01:38,CANCELLED,NORTH
O0148,C0452,2026-06-26 13:45:55,PLACED,EAST
O0149,C0333,2026-04-08 22:30:52,CANCELLED,EAST
O0150,C0338,2026-05-22 03:41:28,PLACED,EAST
O0151,C0211,2025-03-08 00:00:00,PLACED,NORTH
O0152,C0040,2025-12-13 13:17:18,DELIVERED,EAST
O0153,C0364,2025-01-02 15:46:38,SHIPPED,SOUTH
O0154,C0078,2025-08-07 13:19:15,DELIVERED,WEST
O0155,C0284,2024-10-22 19:52:44,RETURNED,EAST
O0156,C0387,2024-09-13 09:10:00,SHIPPED,WEST
O0157,C0169,2024-08-19 01:50:39,PLACED,SOUTH
O0158,C0026,2026-07-31 11:31:00,CANCELLED,WEST
