item_id,order_id,product_id,quantity,unit_price,discount_percent
I00001,O0478,P0094,1,6729,15
I00002,O0109,P0266,2,12573,18
I00003,O0293,P0189,1,12526,30
I00004,O0289,P0315,3,16885,18
I00005,O0456,P0495,1,43035,17
I00006,O0080,P0105,2,38368,12
I00007,O0320,P0353,3,12455,3
I00008,O0029,P0305,3,35941,36
I00009,O0131,P0213,1,15860,31
I00010,O0295,P0291,4,43266,6
I00011,O0268,P0087,2,13505,31
I00012,O0009,P0227,2,3732,30
I00013,O0097,P0398,2,35667,36
I00014,O0025,P0002,1,1937,14
I00015,O0355,P0075,5,45676,9
I00016,O0238,P0207,4,19724,29
I00017,O0355,P0087,2,41766,1
I00018,O0316,P0148,3,49436,19
I00019,O0181,P0082,1,37898,24
I00020,O0073,P0031,3,7164,26
I00021,O0230,P0312,2,24426,34
I00022,O0459,P0057,5,16240,6
I00023,O0103,P0108,3,44031,25
I00024,O0012,P0318,2,4043,0
I00025,O0212,P0281,4,42835,8
I00026,O0486,P0178,4,40232,1
I00027,O0206,P0264,2,34019,13
I00028,O0048,P0066,5,27283,7
I00029,O0240,P0168,4,3616,22
I00030,O0229,P0011,1,2737,9
I00031,O0007,P0467,5,32481,37
I00032,O0185,P0261,2,10004,26
I00033,O0494,P0250,1,14729,38
I00034,O0404,P0407,3,28052,11
I00035,O0327,P0247,5,44131,29
I00036,O0139,P0129,5,46010,4
I00037,O0488,P0237,1,27076,4
I00038,O0355,P0175,2,7128,15
I00039,O0106,P0389,3,4715,32
I00040,O0120,P0139,1,46654,12
I00041,O0075,P0493,4,36963,37
I00042,O0382,P0338,3,18436,2
I00043,O0291,P0469,1,7315,16
I00044,O0234,P0187,2,6048,35
I00045,O0251,P0012,5,21624,38
I00046,O0177,P0142,-5,41008,13
I00047,O0066,P0137,1,20170,28
I00048,O0132,P0003,5,42136,30
I00049,O0024,P0188,4,38770,25
I00050,O0362,P0035,1,42365,8
I00051,O0019,P0373,-5,30914,35
I00052,O0258,P0023,1,36514,0
I00053,O0108,P0076,1,44833,36
I00054,O0305,P0174,4,15213,20
I00055,O0128,P0185,4,21061,33
I00056,O0160,P0169,5,20777,4
I00057,O0384,P0128,3,37621,38
I00058,O0256,P0445,4,17682,3
I00059,O0204,P0437,2,2819,27
I00060,O0250,P0333,5,46748,1
I00061,O0260,P0079,3,20133,19
I00062,O0322,P0003,1,40777,1
I00063,O0138,P0195,4,32642,22
I00064,O0052,P0388,3,13927,20
I00065,O0481,P0397,2,37480,6
I00066,O0003,P0267,3,43055,25
I00067,O0425,P0153,1,49123,37
I00068,O0415,P0073,-3,363,7
I00069,O0325,P0196,2,39728,37
I00070,O0284,P0352,1,34148,12
I00071,O0266,P0273,1,45279,30
I00072,O0280,P0183,4,653,18
I00073,O0137,P0006,2,36292,27
I00074,O0296,P0210,3,5546,29
I00075,O0178,P0200,4,32474,20
I00076,O0435,P0420,5,49971,0
I00077,O0410,P0085,1,18211,9
I00078,O0309,P0470,4,45942,24
I00079,O0229,P0500,2,2033,14
I00080,O0121,P0406,5,37879,23
I00081,O0498,P0200,4,36021,32
I00082,O0491,P0112,1,43609,7
I00083,O0432,P0476,4,6359,25
I00084,O0173,P0338,3,5290,1
I00085,O0428,P0228,3,16723,13
I00086,O0288,P0483,5,12880,33
I00087,O0145,P0041,3,34832,18
I00088,O0390,P0322,4,16424,24
I00089,O0387,P0235,5,32437,29
I00090,O0088,P0372,1,16164,4
I00091,O0428,P0202,3,8680,5
I00092,O0275,P0199,3,21233,28
I00093,O0268,P0483,3,34229,33
I00094,O0487,P0143,4,6130,20
I00095,O0460,P0497,3,16174,40
I00096,O0374,P0327,3,22043,23
I00097,O0345,P0055,1,389,18
I00098,O0066,P0338,4,17644,15
I00099,O0041,P0446,2,3505,10
I00100,O0427,P0199,1,29251,26
I00101,O0472,P0392,5,5595,10
I00102,O0393,P0024,5,15726,37
I00103,O0355,P0122,5,35644,37
I00104,O0132,P0352,1,29273,35
I00105,O0103,P0035,5,22818,9
I00106,O0057,P0427,4,4413,5
I00107,O0359,P0141,2,37817,11
I00108,O0426,P0103,4,46692,33
I00109,O0174,P0011,5,18148,10
I00110,O0211,P0310,1,9667,40
I00111,O0478,P0266,1,39800,22
I00112,O0363,P0198,4,22945,38
I00113,O0128,P0337,1,22849,27
I00114,O0188,P0329,4,33191,8
I00115,O0031,P0069,2,34783,11
I00116,O0401,P0081,2,19832,9
I00117,O0057,P0370,5,27851,18
I00118,O0429,P0394,3,39534,11
I00119,O0401,P0487,4,11929,12
I00120,O0129,P0314,4,4556,39
I00121,O0362,P0214,4,32828,25
I00122,O0444,P0020,4,46647,11
I00123,O0369,P0235,3,3775,21
I00124,O0308,P0247,3,41335,18
I00125,O0397,P0108,4,13023,4
I00126,O0107,P0207,1,32448,16
I00127,O0449,P0374,2,32886,18
I00128,O0168,P0297,1,26625,0
