product_id,product_name,category,subcategory,cost_price
P0001,Laptop,Electronics,Laptop,48931
P0002,Laptop,Electronics,Laptop,49317
P0003,Laptop,Electronics,Laptop,35864
P0004,Laptop,Electronics,Laptop,22998
P0005,Laptop,Electronics,Laptop,16226
P0006,Laptop,Electronics,Laptop,1185
P0007,Laptop,Electronics,Laptop,31096
P0008,Laptop,Electronics,Laptop,17378
P0009,Laptop,Electronics,Laptop,38346
P0010,Laptop,Electronics,Laptop,8609
P0011,Laptop,Electronics,Laptop,12284
P0012,Laptop,Electronics,Laptop,26479
P0013,Laptop,Electronics,Laptop,12444
P0014,  LAPTOP  ,Electronics,Laptop,19880
P0015,Laptop,Electronics,Laptop,8140
P0016,Laptop,Electronics,Laptop,44578
P0017,Laptop,Electronics,Laptop,46999
P0018,Laptop,Electronics,Laptop,12099
P0019,  LAPTOP  ,Electronics,Laptop,44064
P0020,Laptop,Electronics,Laptop,19027
P0021,Laptop,Electronics,Laptop,32841
P0022,Laptop,Electronics,Laptop,37797
P0023,Laptop,Electronics,Laptop,7005
P0024,Laptop,Electronics,Laptop,48783
P0025,Laptop,Electronics,Laptop,42311
P0026,Mobile,Electronics,Mobile,44584
P0027,Mobile,Electronics,Mobile,11713
P0028,Mobile,Electronics,Mobile,30037
P0029,Mobile,Electronics,Mobile,23280
P0030,Mobile,Electronics,Mobile,41091
P0031,Mobile,Electronics,Mobile,34418
P0032,Mobile,Electronics,Mobile,8477
P0033,Mobile,Electronics,Mobile,16172
P0034,Mobile,Electronics,Mobile,38032
P0035,Mobile,Electronics,Mobile,44896
P0036,Mobile,Electronics,Mobile,4982
P0037,Mobile,Electronics,Mobile,15512
P0038,Mobile,Electronics,Mobile,5087
P0039,Mobile,Electronics,Mobile,15236
P0040,Mobile,Electronics,Mobile,44701
P0041,Mobile,Electronics,Mobile,10422
P0042,Mobile,Electronics,Mobile,34423
P0043,Mobile,Electronics,Mobile,37164
P0044,Mobile,Electronics,Mobile,5618
P0045,Mobile,Electronics,Mobile,13360
P0046,Mobile,Electronics,Mobile,17457
P0047,Mobile,Electronics,Mobile,27520
P0048,Mobile,Electronics,Mobile,44311
P0049,Mobile,Electronics,Mobile,16742
P0050,Mobile,Electronics,Mobile,35621
P0051,  KEYBOARD  ,Electronics,Keyboard,10814
P0052,Keyboard,Electronics,Keyboard,43079
P0053,Keyboard,Electronics,Keyboard,1418
P0054,Keyboard,Electronics,Keyboard,3487
P0055,Keyboard,Electronics,Keyboard,39859
P0056,Keyboard,Electronics,Keyboard,11303
P0057,Keyboard,Electronics,Keyboard,25435
P0058,Keyboard,Electronics,Keyboard,18984
P0059,Keyboard,Electronics,Keyboard,600
P0060,Keyboard,Electronics,Keyboard,30221
P0061,Keyboard,Electronics,Keyboard,47306
P0062,Keyboard,Electronics,Keyboard,2058
P0063,Keyboard,Electronics,Keyboard,38550
P0064,Keyboard,Electronics,Keyboard,35425
P0065,Keyboard,Electronics,Keyboard,22053
P0066,Keyboard,Electronics,Keyboard,14810
P0067,Keyboard,Electronics,Keyboard,47133
P0068,Keyboard,Electronics,Keyboard,2719
P0069,Keyboard,Electronics,Keyboard,14914
P0070,Keyboard,Electronics,Keyboard,36009
P0071,Keyboard,Electronics,Keyboard,49175
P0072,Keyboard,Electronics,Keyboard,18821
P0073,Keyboard,Electronics,Keyboard,5190
P0074,Keyboard,Electronics,Keyboard,1817
P0075,Keyboard,Electronics,Keyboard,1986
P0076,Mouse,Electronics,Mouse,43034
P0077,Mouse,Electronics,Mouse,6677
P0078,Mouse,Electronics,Mouse,32223
P0079,Mouse,Electronics,Mouse,49205
P0080,Mouse,Electronics,Mouse,40186
P0081,Mouse,Electronics,Mouse,30630
P0082,Mouse,Electronics,Mouse,49972
P0083,Mouse,Electronics,Mouse,22459
P0084,Mouse,Electronics,Mouse,41467
P0085,Mouse,Electronics,Mouse,21781
P0086,Mouse,Electronics,Mouse,35082
P0087,Mouse,Electronics,Mouse,9834
P0088,Mouse,Electronics,Mouse,15594
P0089,Mouse,Electronics,Mouse,34277
P0090,  MOUSE  ,Electronics,Mouse,38549
P0091,Mouse,Electronics,Mouse,33627
P0092,Mouse,Electronics,Mouse,4247
P0093,Mouse,Electronics,Mouse,37734
P0094,Mouse,Electronics,Mouse,15002
P0095,Mouse,Electronics,Mouse,28467
P0096,Mouse,Electronics,Mouse,27554
P0097,Mouse,Electronics,Mouse,44703
P0098,Mouse,Electronics,Mouse,37161
P0099,  MOUSE  ,Electronics,Mouse,26108
P0100,Mouse,Electronics,Mouse,34225
P0101,Headphones,Electronics,Headphones,48367
P0102,Headphones,Electronics,Headphones,46836
P0103,Headphones,Electronics,Headphones,7076
P0104,Headphones,Electronics,Headphones,40736
P0105,Headphones,Electronics,Headphones,2433
P0106,Headphones,Electronics,Headphones,44420
P0107,Headphones,Electronics,Headphones,6321
P0108,Headphones,Electronics,Headphones,17796
P0109,Headphones,Electronics,Headphones,24516
P0110,Headphones,Electronics,Headphones,45427
P0111,Headphones,Electronics,Headphones,33784
P0112,Headphones,Electronics,Headphones,19605
P0113,Headphones,Electronics,Headphones,22710
P0114,Headphones,Electronics,Headphones,11748
P0115,Headphones,Electronics,Headphones,2239
P0116,Headphones,Electronics,Headphones,9274
P0117,Headphones,Electronics,Headphones,29858
P0118,Headphones,Electronics,Headphones,14572
P0119,Headphones,Electronics,Headphones,39880
P0120,Headphones,Electronics,Headphones,29721
P0121,Headphones,Electronics,Headphones,46444
P0122,Headphones,Electronics,Headphones,11485
P0123,Headphones,Electronics,Headphones,39479
P0124,Headphones,Electronics,Headphones,47281
P0125,Headphones,Electronics,Headphones,1700
P0126,T-Shirt,Clothing,T-Shirt,565
P0127,T-Shirt,Clothing,T-Shirt,29769
P0128,  T-SHIRT  ,Clothing,T-Shirt,3438
P0129,T-Shirt,Clothing,T-Shirt,48954
P0130,T-Shirt,Clothing,T-Shirt,34769
P0131,  T-SHIRT  ,Clothing,T-Shirt,17383
P0132,T-Shirt,Clothing,T-Shirt,43666
P0133,T-Shirt,Clothing,T-Shirt,38764
P0134,T-Shirt,Clothing,T-Shirt,38365
P0135,  T-SHIRT  ,Clothing,T-Shirt,7233
P0136,T-Shirt,Clothing,T-Shirt,27171
P0137,  T-SHIRT  ,Clothing,T-Shirt,22859
P0138,T-Shirt,Clothing,T-Shirt,36080
P0139,T-Shirt,Clothing,T-Shirt,1547
P0140,T-Shirt,Clothing,T-Shirt,1474
P0141,T-Shirt,Clothing,T-Shirt,30628
P0142,T-Shirt,Clothing,T-Shirt,489
P0143,T-Shirt,Clothing,T-Shirt,48181
P0144,  T-SHIRT  ,Clothing,T-Shirt,23988
P0145,T-Shirt,Clothing,T-Shirt,32912
P0146,T-Shirt,Clothing,T-Shirt,11607
P0147,T-Shirt,Clothing,T-Shirt,44693
P0148,T-Shirt,Clothing,T-Shirt,41447
P0149,T-Shirt,Clothing,T-Shirt,23980
P0150,  T-SHIRT  ,Clothing,T-Shirt,9633
P0151,Jeans,Clothing,Jeans,35418
P0152,  JEANS  ,Clothing,Jeans,12766
P0153,Jeans,Clothing,Jeans,21918
P0154,Jeans,Clothing,Jeans,1728
P0155,Jeans,Clothing,Jeans,9993
P0156,Jeans,Clothing,Jeans,1147
P0157,Jeans,Clothing,Jeans,23167
P0158,Jeans,Clothing,Jeans,2718
